modelo,execucao,pergunta_id,pergunta,resposta,real_time_sec,gpu_percent,vram_kb
mistral_v0.1,3,1,the last time la dodgers won the world series,1988,1.7990913391113281,35,5558272
mistral_v0.1,3,2,who sings ain't nothing but a good time,Owl City ft. Carly Rae Jepsen,3.203378677368164,37,5558272
mistral_v0.1,3,3,where does the movie the sound of music take place,Austria,0.9392755031585693,37,5558272
mistral_v0.1,3,4,statue coming out of the ground in washington dc,statue of liberty,1.3767220973968506,37,5558272
mistral_v0.1,3,5,field hockey is the national sport of which country,India,0.7981195449829102,37,5558272
mistral_v0.1,3,6,who governs in america’s representative democracy (republic) system,the people  through their elected representatives in congress and the president.,3.5630319118499756,23,5558272
mistral_v0.1,3,7,who is the song you're my best friend about,"The Beatles - ""I Get By With a Little Help From My Friends""",4.292562961578369,35,5558272
mistral_v0.1,3,8,where was the church of latter day saints founded,Independence  Missouri,1.5142037868499756,28,5558272
mistral_v0.1,3,9,who os the father of bridget jones baby,mark darcy,1.6417856216430664,44,5558272
mistral_v0.1,3,10,who is the nationalist leader associated with the american revolution,George Washington,1.225309133529663,27,5558272
mistral_v0.1,3,11,what color is the president of south koreas house,White,0.9207360744476318,40,5558272
mistral_v0.1,3,12,who is the security general of the un,unknown,0.964984655380249,39,5558272
mistral_v0.1,3,13,who won the first season of the rap game,Jay-Z,1.2436048984527588,23,5558272
mistral_v0.1,3,14,actor who played tommy in terms of endearment,Tommy Vercetti,1.504577398300171,40,5558272
mistral_v0.1,3,15,when did early voting start in the us,1975,1.797253131866455,23,5558272
mistral_v0.1,3,16,list of longest running tv shows in india,1. Mahabharata (1988-1990) - 24 years 2. Ramayana (1987-1990) - 3 years 3. Shaktimaal (1996-2007) - 11 years 4. Kuchisake Onna (1995-2005) - 10 years 5. Kasam Se Kasam (1998-2004) - 6 years 6. Hum Tum (2003-2007) - 4 years 7. Kyunki Saas Bhi Kabhi Bahu Thi (1999-2008) - 9 years 8. Yeh Hai Mohabbatein (2013-present) - 8 years and counting 9. Ishqbaaz (2015-present) - 6 years and counting 10. Kuch Isliye Koi Aaj Kal (2017-present) - 4 years and counting,49.66555213928223,25,5558272
mistral_v0.1,3,17,who wrote i will be home for christmas,Irving Berlin,1.3542144298553467,37,5542912
mistral_v0.1,3,18,icc world cup outside england first time sponsor,1,1.0825245380401611,44,5543936
mistral_v0.1,3,19,when is the draw for the european championships 2020,19th march 2020,2.91916561126709,37,5543936
mistral_v0.1,3,20,who plays the medical examiner on hawaii five-o,Max Bergman,1.518373966217041,45,5543936
mistral_v0.1,3,21,which piece of legislation placed the protections in the european convention on human rights,The European Convention on Human Rights was adopted by the Council of Europe in 1948. It is a treaty that sets out fundamental human rights to be protected by its signatories  including the United Kingdom. The Convention has been amended several times since its adoption  with additional protections being added over time.,14.180445671081543,42,5543936
mistral_v0.1,3,22,who sang vande maataram in 1896 congress session,Rabindranath Tagore,2.2134578227996826,41,5543936
mistral_v0.1,3,23,who were the sponsor of the icc world cup when it was hosted outside england for the first time,pakistan,1.595160961151123,28,5543936
mistral_v0.1,3,24,what is the most uneducated state in america,Mississippi,0.9216680526733398,43,5543936
mistral_v0.1,3,25,who makes the most tires in the world,Goodyear Tire & Rubber Company,2.381188154220581,37,5543936
mistral_v0.1,3,26,who argued with congress during the early years of reconstruction,Andrew Johnson  Ulysses S. Grant  Frederick Douglass  Sojourner Truth  Booker T. Washington  W.E.B. Du Bois,7.694948673248291,23,5543936
